variable,year,pct
academics.program_percentage.physical_science,2008,0.0262
academics.program_percentage.science_technology,2008,0
academics.program_percentage.psychology,2008,0.0242
academics.program_percentage.security_law_enforcement,2008,0
academics.program_percentage.public_administration_social_service,2008,0.0164
academics.program_percentage.social_science,2008,0.0975
academics.program_percentage.construction,2008,0
academics.program_percentage.mechanic_repair_technology,2008,0
academics.program_percentage.precision_production,2008,0
academics.program_percentage.transportation,2008,0
academics.program_percentage.visual_performing,2008,0.0245
academics.program_percentage.health,2008,0
academics.program_percentage.business_marketing,2008,0.1355
academics.program_percentage.history,2008,0.0156
academics.program_percentage.agriculture,2009,0.1278
academics.program_percentage.resources,2009,0.0106
academics.program_percentage.architecture,2009,0.0412
academics.program_percentage.ethnic_cultural_gender,2009,0.016
academics.program_percentage.communication,2009,0.0166
academics.program_percentage.communications_technology,2009,0
academics.program_percentage.computer,2009,0.0264
academics.program_percentage.personal_culinary,2009,0
academics.program_percentage.education,2009,6e-4
academics.program_percentage.engineering,2009,0.1813
academics.program_percentage.engineering_technology,2009,0
academics.program_percentage.language,2009,0.0129
academics.program_percentage.family_consumer_science,2009,0.0415
academics.program_percentage.legal,2009,0
academics.program_percentage.english,2009,0.0221
academics.program_percentage.humanities,2009,0.004
academics.program_percentage.library,2009,0
academics.program_percentage.biological,2009,0.1172
academics.program_percentage.mathematics,2009,0.0083
academics.program_percentage.military,2009,0
academics.program_percentage.multidiscipline,2009,0.0123
academics.program_percentage.parks_recreation_fitness,2009,0
academics.program_percentage.philosophy_religious,2009,0.0077
academics.program_percentage.theology_religious_vocation,2009,0
academics.program_percentage.physical_science,2009,0.0218
academics.program_percentage.science_technology,2009,0
academics.program_percentage.psychology,2009,0.0186
academics.program_percentage.security_law_enforcement,2009,0
academics.program_percentage.public_administration_social_service,2009,0.0209
academics.program_percentage.social_science,2009,0.0983
academics.program_percentage.construction,2009,0
academics.program_percentage.mechanic_repair_technology,2009,0
academics.program_percentage.precision_production,2009,0
academics.program_percentage.transportation,2009,0
academics.program_percentage.visual_performing,2009,0.0258
academics.program_percentage.health,2009,0
academics.program_percentage.business_marketing,2009,0.1478
academics.program_percentage.history,2009,0.0203
academics.program_percentage.agriculture,2010,0.12
academics.program_percentage.resources,2010,0.0143
academics.program_percentage.architecture,2010,0.047
academics.program_percentage.ethnic_cultural_gender,2010,0.0146
academics.program_percentage.communication,2010,0.023
academics.program_percentage.communications_technology,2010,0
academics.program_percentage.computer,2010,0.0297
academics.program_percentage.personal_culinary,2010,0
academics.program_percentage.education,2010,3e-4
academics.program_percentage.engineering,2010,0.1791
academics.program_percentage.engineering_technology,2010,0
academics.program_percentage.language,2010,0.0127
academics.program_percentage.family_consumer_science,2010,0.0346
academics.program_percentage.legal,2010,0
academics.program_percentage.english,2010,0.0178
academics.program_percentage.humanities,2010,0.0054
academics.program_percentage.library,2010,0
academics.program_percentage.biological,2010,0.12
academics.program_percentage.mathematics,2010,0.0105
academics.program_percentage.military,2010,0
academics.program_percentage.multidiscipline,2010,0.0224
academics.program_percentage.parks_recreation_fitness,2010,0
academics.program_percentage.philosophy_religious,2010,0.0073
academics.program_percentage.theology_religious_vocation,2010,0
academics.program_percentage.physical_science,2010,0.0297
academics.program_percentage.science_technology,2010,0
academics.program_percentage.psychology,2010,0.0203
academics.program_percentage.security_law_enforcement,2010,0
academics.program_percentage.public_administration_social_service,2010,0.0173
academics.program_percentage.social_science,2010,0.0994
academics.program_percentage.construction,2010,0
academics.program_percentage.mechanic_repair_technology,2010,0
academics.program_percentage.precision_production,2010,0
academics.program_percentage.transportation,2010,0
academics.program_percentage.visual_performing,2010,0.0284
academics.program_percentage.health,2010,0
academics.program_percentage.business_marketing,2010,0.1294
academics.program_percentage.history,2010,0.0168
academics.program_percentage.agriculture,2011,0.1318
academics.program_percentage.resources,2011,0.0192
academics.program_percentage.architecture,2011,0.0423
academics.program_percentage.ethnic_cultural_gender,2011,0.0155
academics.program_percentage.communication,2011,0.0217
academics.program_percentage.communications_technology,2011,0
academics.program_percentage.computer,2011,0.0254
academics.program_percentage.personal_culinary,2011,0
academics.program_percentage.education,2011,0.0017
academics.program_percentage.engineering,2011,0.1829
academics.program_percentage.engineering_technology,2011,0
academics.program_percentage.language,2011,0.0107
academics.program_percentage.family_consumer_science,2011,0.0271
academics.program_percentage.legal,2011,0
academics.program_percentage.english,2011,0.0152
academics.program_percentage.humanities,2011,0.004
academics.program_percentage.library,2011,0
academics.program_percentage.biological,2011,0.1222
academics.program_percentage.mathematics,2011,0.0093
academics.program_percentage.military,2011,0
academics.program_percentage.multidiscipline,2011,0.0243
academics.program_percentage.parks_recreation_fitness,2011,0
academics.program_percentage.philosophy_religious,2011,0.0034
academics.program_percentage.theology_religious_vocation,2011,0
academics.program_percentage.physical_science,2011,0.022
academics.program_percentage.science_technology,2011,0
academics.program_percentage.psychology,2011,0.0181
academics.program_percentage.security_law_enforcement,2011,0
academics.program_percentage.public_administration_social_service,2011,0.0198
academics.program_percentage.social_science,2011,0.1062
academics.program_percentage.construction,2011,0
academics.program_percentage.mechanic_repair_technology,2011,0
academics.program_percentage.precision_production,2011,0
academics.program_percentage.transportation,2011,0
academics.program_percentage.visual_performing,2011,0.0251
academics.program_percentage.health,2011,0
academics.program_percentage.business_marketing,2011,0.1395
academics.program_percentage.history,2011,0.0124
academics.program_percentage.agriculture,2012,0.126
academics.program_percentage.resources,2012,0.02
academics.program_percentage.architecture,2012,0.0362
academics.program_percentage.ethnic_cultural_gender,2012,0.0167
academics.program_percentage.communication,2012,0.025
academics.program_percentage.communications_technology,2012,0
academics.program_percentage.computer,2012,0.0334
academics.program_percentage.personal_culinary,2012,0
academics.program_percentage.education,2012,0.0011
academics.program_percentage.engineering,2012,0.1805
academics.program_percentage.engineering_technology,2012,0
academics.program_percentage.language,2012,0.012
academics.program_percentage.family_consumer_science,2012,0.0189
academics.program_percentage.legal,2012,0
academics.program_percentage.english,2012,0.0172
academics.program_percentage.humanities,2012,0.0019
academics.program_percentage.library,2012,0
academics.program_percentage.biological,2012,0.1301
academics.program_percentage.mathematics,2012,0.012
academics.program_percentage.military,2012,0
academics.program_percentage.multidiscipline,2012,0.0278
academics.program_percentage.parks_recreation_fitness,2012,0
academics.program_percentage.philosophy_religious,2012,0.0044
academics.program_percentage.theology_religious_vocation,2012,0
academics.program_percentage.physical_science,2012,0.0273
academics.program_percentage.science_technology,2012,0
academics.program_percentage.psychology,2012,0.0203
academics.program_percentage.security_law_enforcement,2012,0
academics.program_percentage.public_administration_social_service,2012,0.0184
academics.program_percentage.social_science,2012,0.0957
academics.program_percentage.construction,2012,0
academics.program_percentage.mechanic_repair_technology,2012,0
academics.program_percentage.precision_production,2012,0
academics.program_percentage.transportation,2012,0
academics.program_percentage.visual_performing,2012,0.0203
academics.program_percentage.health,2012,0
academics.program_percentage.business_marketing,2012,0.1413
academics.program_percentage.history,2012,0.0136
academics.program_percentage.agriculture,2013,0.1207
academics.program_percentage.resources,2013,0.0179
academics.program_percentage.architecture,2013,0.0361
academics.program_percentage.ethnic_cultural_gender,2013,0.0148
academics.program_percentage.communication,2013,0.0204
academics.program_percentage.communications_technology,2013,0
academics.program_percentage.computer,2013,0.0402
academics.program_percentage.personal_culinary,2013,0
academics.program_percentage.education,2013,0.002
academics.program_percentage.engineering,2013,0.1699
academics.program_percentage.engineering_technology,2013,0
academics.program_percentage.language,2013,0.0098
academics.program_percentage.family_consumer_science,2013,0.0243
academics.program_percentage.legal,2013,0
academics.program_percentage.english,2013,0.019
academics.program_percentage.humanities,2013,0.0028
academics.program_percentage.library,2013,0
academics.program_percentage.biological,2013,0.13
academics.program_percentage.mathematics,2013,0.0112
academics.program_percentage.military,2013,0
academics.program_percentage.multidiscipline,2013,0.0299
academics.program_percentage.parks_recreation_fitness,2013,0
academics.program_percentage.philosophy_religious,2013,0.0064
academics.program_percentage.theology_religious_vocation,2013,0
academics.program_percentage.physical_science,2013,0.0263
academics.program_percentage.science_technology,2013,0
academics.program_percentage.psychology,2013,0.0229
academics.program_percentage.security_law_enforcement,2013,0
academics.program_percentage.public_administration_social_service,2013,0.0143
academics.program_percentage.social_science,2013,0.1045
academics.program_percentage.construction,2013,0
academics.program_percentage.mechanic_repair_technology,2013,0
academics.program_percentage.precision_production,2013,0
academics.program_percentage.transportation,2013,0
academics.program_percentage.visual_performing,2013,0.0246
academics.program_percentage.health,2013,0
academics.program_percentage.business_marketing,2013,0.1364
academics.program_percentage.history,2013,0.0157
academics.program_percentage.agriculture,2014,0.135
academics.program_percentage.resources,2014,0.0224
academics.program_percentage.architecture,2014,0.0359
academics.program_percentage.ethnic_cultural_gender,2014,0.0115
academics.program_percentage.communication,2014,0.0188
academics.program_percentage.communications_technology,2014,0
academics.program_percentage.computer,2014,0.0423
academics.program_percentage.personal_culinary,2014,0
academics.program_percentage.education,2014,0.0011
academics.program_percentage.engineering,2014,0.1768
academics.program_percentage.engineering_technology,2014,0
academics.program_percentage.language,2014,0.0115
academics.program_percentage.family_consumer_science,2014,0.0244
academics.program_percentage.legal,2014,0
academics.program_percentage.english,2014,0.0157
academics.program_percentage.humanities,2014,0.0011
academics.program_percentage.library,2014,0
academics.program_percentage.biological,2014,0.1361
academics.program_percentage.mathematics,2014,0.0109
academics.program_percentage.military,2014,0
academics.program_percentage.multidiscipline,2014,0.028
academics.program_percentage.parks_recreation_fitness,2014,0
academics.program_percentage.philosophy_religious,2014,0.0028
academics.program_percentage.theology_religious_vocation,2014,0
academics.program_percentage.physical_science,2014,0.0238
academics.program_percentage.science_technology,2014,0
academics.program_percentage.psychology,2014,0.0221
academics.program_percentage.security_law_enforcement,2014,0
academics.program_percentage.public_administration_social_service,2014,0.0148
academics.program_percentage.social_science,2014,0.0938
academics.program_percentage.construction,2014,0
academics.program_percentage.mechanic_repair_technology,2014,0
academics.program_percentage.precision_production,2014,0
academics.program_percentage.transportation,2014,0
academics.program_percentage.visual_performing,2014,0.0202
academics.program_percentage.health,2014,0
academics.program_percentage.business_marketing,2014,0.1373
academics.program_percentage.history,2014,0.0137
academics.program_percentage.agriculture,2015,0.1353
academics.program_percentage.resources,2015,0.0155
academics.program_percentage.architecture,2015,0.0299
academics.program_percentage.ethnic_cultural_gender,2015,0.0112
academics.program_percentage.communication,2015,0.0237
academics.program_percentage.communications_technology,2015,0
academics.program_percentage.computer,2015,0.058
academics.program_percentage.personal_culinary,2015,0
academics.program_percentage.education,2015,0
academics.program_percentage.engineering,2015,0.1802
academics.program_percentage.engineering_technology,2015,0
academics.program_percentage.language,2015,0.0098
academics.program_percentage.family_consumer_science,2015,0.0201
academics.program_percentage.legal,2015,0
academics.program_percentage.english,2015,0.0161
academics.program_percentage.humanities,2015,0.0019
academics.program_percentage.library,2015,0
academics.program_percentage.biological,2015,0.1516
academics.program_percentage.mathematics,2015,0.0117
academics.program_percentage.military,2015,0
academics.program_percentage.multidiscipline,2015,0.0144
academics.program_percentage.parks_recreation_fitness,2015,0
academics.program_percentage.philosophy_religious,2015,0.0054
academics.program_percentage.theology_religious_vocation,2015,0
academics.program_percentage.physical_science,2015,0.0294
academics.program_percentage.science_technology,2015,0
academics.program_percentage.psychology,2015,0.0188
academics.program_percentage.security_law_enforcement,2015,0
academics.program_percentage.public_administration_social_service,2015,0.0109
academics.program_percentage.social_science,2015,0.092
academics.program_percentage.construction,2015,0
academics.program_percentage.mechanic_repair_technology,2015,0
academics.program_percentage.precision_production,2015,0
academics.program_percentage.transportation,2015,0
academics.program_percentage.visual_performing,2015,0.0169
academics.program_percentage.health,2015,0
academics.program_percentage.business_marketing,2015,0.1366
academics.program_percentage.history,2015,0.0106
academics.program_percentage.agriculture,2016,0.1192
academics.program_percentage.resources,2016,0.0165
academics.program_percentage.architecture,2016,0.0303
academics.program_percentage.ethnic_cultural_gender,2016,0.0128
academics.program_percentage.communication,2016,0.0226
academics.program_percentage.communications_technology,2016,0
academics.program_percentage.computer,2016,0.0809
academics.program_percentage.personal_culinary,2016,0
academics.program_percentage.education,2016,0
academics.program_percentage.engineering,2016,0.1698
academics.program_percentage.engineering_technology,2016,0
academics.program_percentage.language,2016,0.0088
academics.program_percentage.family_consumer_science,2016,0.0247
academics.program_percentage.legal,2016,0
academics.program_percentage.english,2016,0.0125
academics.program_percentage.humanities,2016,8e-4
academics.program_percentage.library,2016,0
academics.program_percentage.biological,2016,0.1432
academics.program_percentage.mathematics,2016,0.0128
academics.program_percentage.military,2016,0
academics.program_percentage.multidiscipline,2016,0.0154
academics.program_percentage.parks_recreation_fitness,2016,0
academics.program_percentage.philosophy_religious,2016,0.0045
academics.program_percentage.theology_religious_vocation,2016,0
academics.program_percentage.physical_science,2016,0.0253
academics.program_percentage.science_technology,2016,0
academics.program_percentage.psychology,2016,0.0125
academics.program_percentage.security_law_enforcement,2016,0
academics.program_percentage.public_administration_social_service,2016,0.0154
academics.program_percentage.social_science,2016,0.0913
academics.program_percentage.construction,2016,0
academics.program_percentage.mechanic_repair_technology,2016,0
academics.program_percentage.precision_production,2016,0
academics.program_percentage.transportation,2016,0
academics.program_percentage.visual_performing,2016,0.0237
academics.program_percentage.health,2016,0
academics.program_percentage.business_marketing,2016,0.1474
academics.program_percentage.history,2016,0.0096
academics.program_percentage.agriculture,2017,0.1244
academics.program_percentage.resources,2017,0.0162
academics.program_percentage.architecture,2017,0.0369
academics.program_percentage.ethnic_cultural_gender,2017,0.0085
academics.program_percentage.communication,2017,0.0234
academics.program_percentage.communications_technology,2017,0
academics.program_percentage.computer,2017,0.0955
academics.program_percentage.personal_culinary,2017,0
academics.program_percentage.education,2017,3e-4
academics.program_percentage.engineering,2017,0.169
academics.program_percentage.engineering_technology,2017,0
academics.program_percentage.language,2017,0.0102
academics.program_percentage.family_consumer_science,2017,0.0226
academics.program_percentage.legal,2017,0
academics.program_percentage.english,2017,0.0132
academics.program_percentage.humanities,2017,0.0011
academics.program_percentage.library,2017,0
academics.program_percentage.biological,2017,0.137
academics.program_percentage.mathematics,2017,0.0157
academics.program_percentage.military,2017,0
academics.program_percentage.multidiscipline,2017,0.0165
academics.program_percentage.parks_recreation_fitness,2017,0
academics.program_percentage.philosophy_religious,2017,0.0074
academics.program_percentage.theology_religious_vocation,2017,0
academics.program_percentage.physical_science,2017,0.0248
academics.program_percentage.science_technology,2017,0
academics.program_percentage.psychology,2017,0.0135
academics.program_percentage.security_law_enforcement,2017,0
academics.program_percentage.public_administration_social_service,2017,0.0182
academics.program_percentage.social_science,2017,0.082
academics.program_percentage.construction,2017,0
academics.program_percentage.mechanic_repair_technology,2017,0
academics.program_percentage.precision_production,2017,0
academics.program_percentage.transportation,2017,0
academics.program_percentage.visual_performing,2017,0.0151
academics.program_percentage.health,2017,0
academics.program_percentage.business_marketing,2017,0.142
academics.program_percentage.history,2017,0.0066
academics.program_percentage.agriculture,2018,0.1219
academics.program_percentage.resources,2018,0.0215
academics.program_percentage.architecture,2018,0.0299
academics.program_percentage.ethnic_cultural_gender,2018,0.0071
academics.program_percentage.communication,2018,0.0226
academics.program_percentage.communications_technology,2018,0
academics.program_percentage.computer,2018,0.1091
academics.program_percentage.personal_culinary,2018,0
academics.program_percentage.education,2018,0
academics.program_percentage.engineering,2018,0.1668
academics.program_percentage.engineering_technology,2018,0
academics.program_percentage.language,2018,0.0082
academics.program_percentage.family_consumer_science,2018,0.0307
academics.program_percentage.legal,2018,0
academics.program_percentage.english,2018,0.0141
academics.program_percentage.humanities,2018,0.0033
academics.program_percentage.library,2018,0
academics.program_percentage.biological,2018,0.1249
academics.program_percentage.mathematics,2018,0.0147
academics.program_percentage.military,2018,0
academics.program_percentage.multidiscipline,2018,0.0106
academics.program_percentage.parks_recreation_fitness,2018,0
